,lat,lng
4643,47.9632385,14.0210846
4644,47.8976333,13.9440833
4645,47.8759,13.9531
4650,48.0694382,13.9114412
4651,48.0718333,13.8749
4652,48.0624774,13.9486774
4653,48.0331875,13.9690625
4654,48.0482615,13.9011
4655,48.0292034,13.9252414
4656,48.0269818,13.9154318
4661,48.0162538,13.8443615
4662,47.9819,13.8217
4663,47.9819,13.8217
4664,48.005,13.836925
4671,48.1369821,13.763475
4672,48.1426545,13.7627364
4673,48.1452684,13.7474842
4674,48.1440077,13.7412231
4675,48.151819,13.7399
4676,48.1518929,13.7495143
4680,48.1839,13.6511
4681,48.1923444,13.6571667
4682,48.17568,13.6498433
4690,48.0480538,13.7741692
4691,48.05383,13.78213
4692,48.0562571,13.770481
4693,48.0366,13.773015
4694,48.033425,13.7775821
4701,48.23214,13.90752
4702,48.2270158,13.9216316
4707,48.2258692,13.8964051
4710,48.2421391,13.8052435
4712,48.2609081,13.8035757
4713,48.2412846,13.7965077
4714,48.2318846,13.7948872
4715,48.2451386,13.7833068
4716,48.2373333,13.7808667
4720,48.3619,13.7371309
4721,48.35835,13.72438
4722,48.365141,13.7455313
4723,48.3800439,13.736222
4724,48.3804211,13.7521351
4725,48.3952132,13.7339474
4730,48.3231828,13.8710259
4731,48.3137974,13.9028769
4732,48.3064611,13.8799889
4733,48.3275412,13.8674529
4741,48.2333273,13.6251136
4742,48.2320707,13.6159268
4743,48.2325,13.60958
4751,48.2783083,13.6052792
4752,48.2871857,13.6011857
4753,48.2810364,13.5877727
4754,48.27616,13.5687133
4755,48.2908133,13.5991367
4760,48.3653941,13.6553765
4761,48.3776667,13.6542444
4762,48.3641818,13.6745
4770,48.3754352,13.5410463
4771,48.3829556,13.5493444
4772,48.3594105,13.5276684
4773,48.3696692,13.5129462
4774,48.3787667,13.4883905
4775,48.3898286,13.5313971
4776,48.3939143,13.5514886
4777,48.3540333,13.5127333
4780,48.48945,13.4676167
4782,48.4819792,13.4809333
4783,48.5096083,13.4737083
4784,48.52356,13.491665
4785,48.5559444,13.5053667
4786,48.4987667,13.4791667
4791,48.462315,13.5949
4792,48.4727143,13.5972857
4793,48.4759765,13.6224118
4794,48.4546407,13.6358111
4800,47.9381474,13.738
4801,47.87905,13.76415
4802,47.8200545,13.7526636
4810,47.9173857,13.7894571
4812,47.9207667,13.7701111
4813,47.8966333,13.7470667
4814,47.89135,13.716225
4816,47.9459,13.82565
4817,47.9161167,13.8534667
4820,47.71005,13.6225111
4821,47.6912667,13.6143333
4822,47.6352387,13.6305
4823,47.5907,13.6534
4824,47.5842,13.5345
4825,47.5842,13.5345
4830,47.5597333,13.6450667
4831,47.5537,13.6849
4840,48.0298158,13.6431421
4841,48.0358359,13.6369564
4842,48.0351087,13.6337
4843,48.0444167,13.6237833
4844,48.0252765,13.6456706
4845,48.0174053,13.6541842
4846,48.0321,13.6385
4849,48.0333,13.5667
4850,47.954737,13.5823889
4851,47.954688,13.568288
4852,47.92585,13.576625
4853,47.9069333,13.5703
4854,47.8934667,13.5605
4860,47.9260471,13.5721118
4861,47.9212318,13.5821182
4863,47.9250368,13.5606158
4864,47.9124,13.5426222
4865,47.87982,13.53001
4866,47.8599833,13.5214167
4870,48.0438273,13.4915236
4871,48.046412,13.493372
4872,48.0487618,13.4983529
4873,48.0563273,13.4910576
4880,47.9247286,13.4734393
4881,47.9112944,13.4597833
4882,47.8826,13.4585
4890,47.9712614,13.3799818
4891,47.983569,13.3671517
4892,47.9805793,13.3824966
4893,47.9525762,13.3623905
4894,47.9672375,13.360275
4901,48.113559,13.6258949
4902,48.1155333,13.6376048
4903,48.1146563,13.6288313
4904,48.1094286,13.6435857
4906,48.1243658,13.60985
4910,48.1860833,13.48635
4911,48.1958778,13.4884611
4912,48.1901895,13.4850632
4920,48.1528435,13.4753565
4921,48.1667269,13.4935615
4922,48.172725,13.5217125
4923,48.15268,13.45614
4924,48.1461355,13.4654645
4925,48.1496278,13.48405
4926,48.16118,13.50022
4931,48.1647438,13.351675
4932,48.1791154,13.3593923
4933,48.1721333,13.3507067
4941,48.2224652,13.3986565
4942,48.23405,13.3726545
4943,48.2371688,13.3590562
4950,48.2323563,13.215525
4951,48.2308222,13.2412778
4952,48.2357333,13.1945952
4961,48.27124,13.16718
4962,48.2742286,13.1590143
4963,48.2653333,13.13105
4970,48.27664,13.43651
4971,48.2854688,13.4410375
4972,48.2931042,13.4431292
4973,48.291332,13.43258
4974,48.3052714,13.4408071
